wavelength_um,abs_S11,abs_S21,abs_S31
1.568447068625784091e+00,1.000000000000000000e+00,1.760978065431118011e-02,1.788712665438652039e-02
1.574573814987603626e+00,1.000000000000000000e+00,1.695800758898258209e-02,1.718421094119548798e-02
1.580748614262065033e+00,1.000000000000000000e+00,1.632052287459373474e-02,1.650825515389442444e-02
1.586972034003254040e+00,9.999999403953552246e-01,1.568803004920482635e-02,1.584655418992042542e-02
1.593244650738444790e+00,1.000000000000000000e+00,1.505265664309263229e-02,1.518291793763637543e-02
1.599567050146136982e+00,1.000000000000000000e+00,1.441059447824954987e-02,1.450740266591310501e-02
1.605939827238352935e+00,1.000000000000000000e+00,1.376521214842796326e-02,1.382475625723600388e-02
1.612363586547306049e+00,1.000000000000000000e+00,1.312495581805706024e-02,1.315155439078807831e-02
1.618838942316572327e+00,1.000000000000000000e+00,1.249384414404630661e-02,1.250017806887626648e-02
1.625366518696881313e+00,1.000000000000000000e+00,1.186516135931015015e-02,1.186559908092021942e-02
1.631946949946666336e+00,1.000000000000000000e+00,1.122870668768882751e-02,1.123110670596361160e-02
1.638580880637506176e+00,9.999999403953552246e-01,1.058472227305173874e-02,1.058729179203510284e-02
1.645268965864598032e+00,1.000000000000000000e+00,9.947150945663452148e-03,9.942898526787757874e-03
1.652011871462403914e+00,1.000000000000000000e+00,9.331339970231056213e-03,9.316679090261459351e-03
1.658810274225623660e+00,1.000000000000000000e+00,8.740352466702461243e-03,8.720830082893371582e-03
1.665664862135646684e+00,1.000000000000000000e+00,8.164302445948123932e-03,8.152392692863941193e-03
1.672576334592641212e+00,1.000000000000000000e+00,7.591344881802797318e-03,7.597832009196281433e-03
1.679545402653443986e+00,1.000000000000000000e+00,7.018620613962411880e-03,7.044842932373285294e-03
1.686572789275424755e+00,1.000000000000000000e+00,6.455720402300357819e-03,6.493052467703819275e-03
1.693659229566498059e+00,1.000000000000000000e+00,5.919930990785360336e-03,5.957155488431453705e-03
1.700805471041462180e+00,1.000000000000000000e+00,5.424552597105503082e-03,5.457555409520864487e-03
1.708012273884858212e+00,1.000000000000000000e+00,4.966713022440671921e-03,5.002224817872047424e-03
1.715280411220538426e+00,1.000000000000000000e+00,4.527079872786998749e-03,4.576609004288911819e-03
1.722610669388147553e+00,1.000000000000000000e+00,4.085843916982412338e-03,4.155040718615055084e-03
1.730003848226723484e+00,1.000000000000000000e+00,3.641982562839984894e-03,3.724678652361035347e-03
1.737460761365631656e+00,1.000000000000000000e+00,3.217136953026056290e-03,3.299020463600754738e-03
1.744982236523058505e+00,1.000000000000000000e+00,2.838304964825510979e-03,2.907969988882541656e-03
